date,MOM
200011,-0.0217
200012,0.0659
200101,-0.2535
200102,0.126
200103,0.08650000000000001
200104,-0.0801
200105,0.0215
200106,0.0062
200107,0.0548
200108,0.0546
200109,0.11380000000000001
200110,-0.0832
200111,-0.0861
200112,0.0002
200201,0.0365
200202,0.0683
200203,-0.0169
200204,0.077
200205,0.030899999999999997
200206,0.062400000000000004
200207,0.0363
200208,0.0187
200209,0.09179999999999999
200210,-0.0558
200211,-0.1643
200212,0.09720000000000001
200301,0.0159
200302,0.0121
200303,0.013999999999999999
200304,-0.0935
200305,-0.1075
200306,-0.0123
200307,-0.003
200308,-0.0053
200309,-0.0007000000000000001
200310,0.0401
200311,0.013600000000000001
200312,-0.0554
200401,0.025699999999999997
200402,-0.011699999999999999
200403,0.0019
200404,-0.053399999999999996
200405,0.0149
200406,0.0208
200407,-0.022400000000000003
200408,-0.0155
200409,0.0548
200410,-0.0143
200411,0.0308
200412,-0.0285
200501,0.0296
200502,0.034300000000000004
200503,0.0043
200504,-0.0068000000000000005
200505,0.0037
200506,0.0207
200507,0.0003
200508,0.0207
200509,0.0346
200510,-0.011899999999999999
200511,0.0034000000000000002
200512,0.0078000000000000005
200601,0.0252
200602,-0.0178
200603,0.0126
200604,0.006
200605,-0.0366
200606,0.0155
200607,-0.0204
200608,-0.0336
200609,-0.0098
200610,-0.0025
200611,-0.0104
200612,0.0079
200701,0.0017000000000000001
200702,-0.0129
200703,0.0258
200704,-0.0016
200705,-0.0033
200706,0.0052
200707,0.028399999999999998
200708,-0.0003
200709,0.0443
200710,0.050300000000000004
200711,0.011200000000000002
200712,0.06559999999999999
200801,-0.0774
200802,0.0613
200803,0.0425
200804,-0.0033
200805,0.0339
200806,0.12710000000000002
200807,-0.050199999999999995
200808,-0.044800000000000006
200809,0.0086
200810,0.0787
200811,0.0728
200812,-0.0509
200901,-0.0236
200902,0.0436
200903,-0.1183
200904,-0.34340000000000004
200905,-0.1253
200906,0.0545
200907,-0.0554
200908,-0.091
200909,-0.0487
200910,0.024900000000000002
200911,0.0039000000000000003
200912,0.03
201001,-0.0533
201002,0.0369
201003,0.035699999999999996
201004,0.0316
201005,-0.002
201006,-0.027000000000000003
201007,0.0178
201008,0.0004
201009,0.0138
201010,0.0146
201011,0.0273
201012,-0.03
201101,-0.003
201102,0.018799999999999997
201103,0.0345
201104,0.0005
201105,-0.006
201106,0.0182
201107,0.002
201108,-0.0027
201109,-0.024
201110,-0.013999999999999999
201111,0.0388
201112,0.0183
201201,-0.0801
201202,-0.0026
201203,0.0131
201204,0.037200000000000004
201205,0.0644
201206,-0.011000000000000001
201207,0.03
201208,-0.0235
201209,-0.0113
201210,0.0005
201211,0.0053
201212,-0.029300000000000003
201301,-0.0182
201302,0.0123
201303,0.0192
201304,0.0022
201305,-0.020099999999999996
201306,0.0043
201307,0.0174
201308,0.0004
201309,0.0302
201310,0.0002
201311,0.0039000000000000003
201312,0.0002
201401,0.0161
201402,0.0213
201403,-0.0327
201404,-0.0382
201405,0.0089
201406,0.006500000000000001
201407,-0.0017000000000000001
201408,0.0083
201409,0.006
201410,-0.0021
201411,0.0069
201412,0.0103
201501,0.0374
201502,-0.031
201503,0.027000000000000003
201504,-0.0727
201505,0.056799999999999996
201506,0.0301
201507,0.09970000000000001
201508,-0.0216
201509,0.0524
201510,-0.0319
201511,0.0229
201512,0.0334
201601,0.016
201602,-0.0435
201603,-0.0504
201604,-0.059800000000000006
201605,0.0147
201606,0.042
201607,-0.0331
201608,-0.0341
201609,0.0026
201610,0.0051
201611,-0.04769999999999999
201612,-0.0027
201701,-0.009300000000000001
201702,-0.0151
201703,-0.0097
201704,0.0048
201705,0.015
201706,-0.001
201707,0.0163
201708,0.0331
201709,-0.013500000000000002
201710,0.0421
201711,-0.009399999999999999
201712,-0.0155
201801,0.0408
201802,0.0368
201803,-0.012
201804,0.0045000000000000005
201805,0.0391
201806,-0.0226
201807,-0.0143
201808,0.053
201809,-0.0008
201810,-0.0206
201811,-0.013999999999999999
201812,0.0176
201901,-0.0862
201902,0.005
201903,0.022400000000000003
201904,-0.0291
201905,0.0755
201906,-0.022400000000000003
201907,0.0292
201908,0.0751
201909,-0.0674
201910,0.0013
201911,-0.0263
201912,-0.0222
202001,0.0602
202002,-0.0028000000000000004
202003,0.0821
202004,-0.0548
202005,0.0016
202006,-0.0083
202007,0.0771
202008,0.0046
202009,0.0319
202010,-0.031400000000000004
202011,-0.1255
202012,-0.023700000000000002
202101,0.0431
202102,-0.079
202103,-0.061200000000000004
202104,0.0123
202105,0.005600000000000001
202106,0.0207
202107,-0.0218
202108,0.0263
202109,0.0139
202110,0.0332
202111,0.0096
202112,-0.0239
202201,-0.0242
202202,0.0166
202203,0.0294
202204,0.05
202205,0.0254
202206,0.0109
202207,-0.0436
202208,0.018500000000000003
202209,0.036699999999999997
202210,0.039
202211,-0.017
202212,0.049100000000000005
202301,-0.1617
202302,0.0055000000000000005
202303,-0.0235
202304,0.0176
202305,-0.0088
202306,-0.0269
202307,-0.0406
202308,0.0378
202309,0.0033
202310,0.0167
202311,0.0256
202312,-0.0553
202401,0.0542
202402,0.049
202403,-0.0032
202404,-0.0043
202405,-0.0016
202406,0.0085
202407,-0.0235
202408,0.0481
202409,-0.0062
202410,0.03
202411,0.01
202412,-0.003
202501,0.0096
202502,-0.008199999999999999
202503,-0.028399999999999998
202504,0.049699999999999994
202505,0.022099999999999998
202506,-0.0264
202507,-0.0097
202508,-0.0354
202509,0.0463
202510,0.0027
202511,-0.018000000000000002
202512,-0.0241
202601,0.0496
202602,0.013300000000000001
